,File ID,Fault type,Fault resistance,Incidence angle,Fault location,Fault distance,Pen,Feature 0,Feature 1,Feature 2
254,4067,4,50.0,90.1,6,4309.7,75,2267.5567763763047,16.23141040941589,1.748145641844795
255,287,4,0.001,0.1,8,4059.2,75,143.29231989307334,1.6403617039888927,2.766087643573549
256,318,4,0.001,45.1,8,4059.2,75,210.4654159952442,4.969852333600442,2.2237245275229243
257,349,4,0.001,90.1,8,4059.2,75,462.5721271359917,9.821382421890965,1.9371628862088213
258,1217,4,10.0,0.1,8,4059.2,75,369.5557578722732,6.0206541691157645,2.3087673586796478
259,1248,4,10.0,45.1,8,4059.2,75,521.1525813774222,9.30654382764814,2.101499698300517
260,1279,4,10.0,90.1,8,4059.2,75,533.2751550256263,9.525338584963528,2.0918855346339518
261,2147,4,25.0,0.1,8,4059.2,75,29.848640660865353,0.89012107835647,1.7366568986722204
262,2178,4,25.0,45.1,8,4059.2,75,493.0773199002061,7.0081881703774975,1.7156291984730307
263,2209,4,25.0,90.1,8,4059.2,75,1.659793815089981,0.3187023598475364,1.8111751759877555
264,3077,4,40.0,0.1,8,4059.2,75,441.2873068188268,9.700634547254888,1.9446742173171792
265,3108,4,40.0,45.1,8,4059.2,75,478.68966749462777,9.912525416154207,1.9321338481535202
266,3139,4,40.0,90.1,8,4059.2,75,551.1562821114566,10.309584808171516,1.9128026552106696
267,4007,4,50.0,0.1,8,4059.2,75,1012.088674686856,11.840434932416747,1.8546884063451303
268,4038,4,50.0,45.1,8,4059.2,75,623.0872289391481,10.971185389447825,2.032076989882082
269,4069,4,50.0,90.1,8,4059.2,75,496.5097946637383,8.861481832142648,2.1224085836347837
